Einar,Vikings (Rival),2.623784853881044
Kesa,Jigoku Mon (Love),2.3394464900169227
Jin Zhang,Waves of Life (Protagonist),2.236377150040476
Will,The Man from Laramie (Protagonist),2.0746699482179225
Laurey,Oklahoma (Love),2.061160877542642
Moritoo,Jigoku Mon (Protagonist),1.8267264797631448
Pearl,Duel in the Sun (Protagonist),1.792102509452043
Jeff,Human Desire (Protagonist),1.7657400868895614
Suhua,Diary of Nurse (Protagonist),1.7379857050104464
Eric,Vikings (Protagonist),1.6508418059254732
Nishida,Black River (Protagonist),1.6460746834609232
Linus,Sabrina (Love),1.592133726475087
Fang Qing,Cliff (Protagonist),1.5684838683632085
Gilda,Gilda (Love),1.4586180271944662
Osan,Chikamatsu Story (Love),1.4304320930750163
Mohei,Chikamatsu Story (Protagonist),1.4246228125061253
Vic,The Man from Laramie (Rival),1.395294882280233
Fan Jun,Cliff (Love),1.394866282992306
Haoru,Diary of Nurse (Rival),1.357205626607963
Wataru,Jigoku Mon (Rival),1.3528878820465207
Ishun,Chikamatsu Story (Rival),1.3397572664929032
Johnny,Gilda (Protagonist),1.3132018230026306
Hitokiri Joe,Black River (Rival),1.2888007381919342
Carl,Human Desire (Rival),1.265650092137986
Haruji,Kurutta Kajitsu (Protagonist),1.265165256481454
Morgana,Vikings (Love),1.2514710430577716
Curly,Oklahoma (Protagonist),1.246683111765955
Alicia,Notorious (Protagonist),1.1707700510055565
Eri,Kurutta Kajitsu (Love),1.1535170171535654
Keming,Our Village (Rival),1.1394280483772488
Jud,Oklahoma (Rival),1.1285572223304654
Bo Kang,Waves of Life (Rival),1.0645758984650975
Shuzhen,Our Village (Love),1.042899856910144
Natsuhisa,Kurutta Kajitsu (Rival),1.0209668454566136
Devlin,Notorious (Love),1.0194770802654154
Vicki,Human Desire (Love),1.0039609671864076
Ye Suping,Waves of Life (Love),0.975234281609852
Changping,Diary of Nurse (Love),0.9707074263866928
Jesse,Duel in the Sun (Rival),0.9674552149907807
Professor Yuan,Cliff (Rival),0.9369758267694355
Barbara,The Man from Laramie (Love),0.9331861863595072
Shizuko,Black River (Love),0.9325780587874611
Ballin,Gilda (Rival),0.8834446807957897
Sabrina,Sabrina (Protagonist),0.8676376189963226
Lewt,Duel in the Sun (Love),0.7995406890251758
Zhanwu,Our Village (Protagonist),0.6850325990493754
Alex Sebastian,Notorious (Rival),0.6397706616823008
David,Sabrina (Rival),0.6174938847484749