Entity,Sum(8-9)
Cliff:::Professor Yuan,0.023809523809523808
Gilda:::Ballin,0.046875
Sabrina:::David,0.16666666666666666
Waves of Life:::Bo Kang,0.23315047021943575
Human Desire:::Carl,0.24657097288676236
Oklahoma:::Jud,0.2955823293172691
Notorious:::Alex Sebastian,0.32795827361044755
Jigoku Mon:::Wataru,0.43253429820594
Diary of Nurse:::Haoru,0.48214285714285715
Kurutta Kajitsu:::Natsuhisa,0.5056899004267426
Black River:::Hitokiri Joe,0.5562023283821758
Duel in the Sun:::Jesse,0.5769230769230769
Our Village:::Keming,0.6059379217273955
Chikamatsu Story:::Ishun,0.6911250873515025
The Man from Laramie:::Vic,0.7887667887667887
Vikings:::Einar,1.2291666666666665